zh,cn,tw,hk,mo,sg,my,vn,ko,jp2,jp
芮,Rui,Jui,,Ioi,Juay,Juay,Nhuế,,,
羿,Yi,I/Yi,Yik,Iek,Ngee,Ngee,Nghệ,,,
儲,Chu,Chu,Chu,Chu,,,Trữ,,,
靳,Jin,Chin,Kan,,King/Keung,King/Keung,Cận,,,
汲,Ji,Chi,,,,,Cấp,,,
邴,Bing,Ping,,,Peng,Peng,,,,
糜,Mi,Mi,Mei,Mei,,,Mi,,,
松,Song,Sung,Chung,Chong,Song,Song,Tùng,,,
井,Jing,Ching,,Cheng,,,,,,
段,Duan,Tuan,Tuen,Tun,Teung,Teung,Đoàn,,,
富,Fu,Fu,Foo,Fu,Poo,Poo,Phú,,,
巫,Wu,Wu,Mo,Mou,Boo,Wu/Boo/Woo,Vu,,,
烏,Wu,Wu,Woo,Wu,Woo/Oh,Woo/Voo/Oh,Ô,,,
焦,Jiao,Chiao,Chiu,Chio,Cheow/Chiau,Cheow/Chiau/Chiao,Tiêu,,,
巴,Ba,Pa,Pa,Pa,Pa,Pa,,,,
弓,Gong,Kung,Kung,Kong,Keng,Keng,Cung,,,
牧,Mu,Mu,Muk,Mok,Mok,Mok,Mục,,,
隗,Kui,Kui,,,Ngwee/Ngui,Ngwee/Ngui,,,,
山,Shan,Shan,San,San,,,Sơn,,,
谷,Gu,Ku,Kuk,Kok,Kok,Kok,Cốc,,,
車,Che,Che,,Che,Chia,Chia/Cheh/Che,Xa,Cha,,
侯,Hou,Hou,Hau,Hao,Hoh/Hou,Hoh/Hou,Hầu,,,
宓,Mi,Mi,,,Mik,Mik,,,,
蓬,Peng,Peng,Pang,Pang,Pong/Phong,Pong/Phong,Bồng,,,
全,Quan,Chuan,Chuen,Chun,Chuang,Chuang,Toàn,,Zen,
郗,Xi,Hsi,,,Hee,Hee,Hy,,,
班,Ban,Pan,Pan,Pan,Pang,Pang,Ban,,,
仰,Yang,Yang,Yeung,Ieong,Ngiang,Ngiang,Ngưỡng,Young,,
秋,Qiu,Chiu,Chau,Chao,Chew,Chew/Chiu,Thu,,,
仲,Zhong,Chung,Chung,Chong,Tong,Tong,Trung,,,
伊,Yi,I/Yi,Yee,I,Yee,Yee,Y,,,
宮,Gong,Kung,Kung,Kong,Keng,Keng,Cung,,,
甯,Ning,Ning,Ning,Neng,Leng,Leng,Ninh,,,
仇,Qiu,Chiu,Sau,Sao,Chew,Chew/Chiu,Thù,,,
欒,Luan,Luan,Luen,,Luang,Luang,,,,
暴,Bao,Pao,Po,Pou,Pow/Pau,Pow/Pau/Pao,Bạo,,,
甘,Gan,Kan,Kam,Kam,Kam,Kam,Cam,,,
鈄,Dou,Tou,,,Toh/Tou,Toh/Tou,,,,
厲,Li,Li,Lai,Lai,Lee,Lee,Lệ,,,
戎,Rong,Jung,Yung,Iong,Jong,Jong,Nhung,,,
祖,Zu,Tsu,Cho,Chou,Choh/Chou,Choh/Chou,Tổ,,,
武,Wu,Wu,Mo,Mou,Boo,Boo,Vũ/Võ,,,
符,Fu,Fu,Foo,Fu,Hoo,Foo/Hoo/Hu,Phù,,,
劉,Liu,Liu,Lau,Lao,/Low/Lau,Liew/Lau/Law/Liao/Lieu/Liu/Low,Lưu,Yu/Ryu,,
景,Jing,Ching,King,Keng,Keng,Keng,Cảnh,,,
詹,Zhan,Chan,Jim/Tsim,Chim,Chiam,Chiam,Chiêm,,,
束,Shu,Shu,,Chok,Sok,Sok,Thúc,,,
龍,Long,Lung,Lung,Long,Leng,Leong/Lon/King/Leng,Long,,,
葉,Ye,Yeh,Ip/Yip,Ip,Yap,Yap/Yip,Diệp,Yeob/Seop/Sŏp/Sup/Sub/Seob/Sob/Coo,Yō,
幸,Xing,Hsing,Hang,Hang,Heng,Heng,Hạnh,,,
司,Si,Ssu,Sze,Si,See,See/Si,Tư,,,
韶,Shao,Shao,Siu,Sio,Seow,Seow/Siau/Siao,Thiều,,,
郜,Gao,Kao,,,Kow/Kau,Kow/Kau,,,,
黎,Li,Li,Lai,Lai,Loi/Lee/Li,Loy/Loi/Lee/Li,Lê,,,
薊,Ji,Chi,,Kai,Kee,Kee,Kế,,,
薄,Bo,Po,,Pok,Poh,Poh,Bạc,,,
印,Yin,Yin,Yan,Ian,Ying,Ying,Ấn,,,
宿,Su,Su,Suk,Sok,,,Túc,,,
白,Bai,Pai,Pak,Pak,Peh,Peh,Bạch/Bạc,,,
懷,Huai,Huai,Wai,Wai,Huai,Huai,Hoài,,,
蒲,Pu,Pu,Po,Pou,Phoo,Phoo,Bồ,,,
邰,Tai,Tai,Tai,,Thai/Tai,Thai/Tai,Thai,,,
從,Cong,Tsung,Chung,Chong,Chong,Chong,Tòng,,,
鄂,E,O,,Ngok,Ngak,Ngak,Ngạc,,,
索,Suo,So,,Sok,Sok/Soh,Sok/Soh,Tác,,,
咸,Xian,Hsien,Ham,Ham,Ham,Ham,Hàm,,,
籍,Ji,Chi,,Chek,,,Tịch,,,
賴,Lai,Lai,Lai,Lai,Lai/Nai,Lay/Lye/Lai/Nai,Lai,,,
卓,Zhuo,Cho,Cheuk,Cheok,Toh,Chok/Chock/Chuk/Toh/Tsok,Trác,,,
藺,Lin,Lin,Lun,Lon,Liang,Liang,Lận,,,
屠,Tu,Tu,To,Tou,Too/Tu,Too/Tu,Đồ,,,
蒙,Meng,Meng,Mung,Mong,Mong,Bang/Mang/Mung/Mong,Mông,,,
池,Chi,Chih,Chi/Tsz,Chi,Tee,See/Tee/Tie,Trì,,,
喬,Qiao,Chiao,Kiu,Kio,Keow,Keow/Kiau/Kiao,Kiều,,,
陰,Yin,Yin,Yam,Iam,Yim,Yim,Âm,,,
鬱,Yu,Yu,Wat,Vat,Hiok,Hiok,Uất,,,
胥,Xu,Hsu,Sui,Soi,Soo,Soo/Su,Tư,,,
能,Nai,Nai,Nang,Nang,Leng,Leng,Năng,,,
蒼,Cang,Tsang,Chong,Chong,Chang,Chang/Chan,Thương,,,
雙,Shuang,Shuang,Sheung,Seong,Sang,Sang,Song,,,
聞,Wen,Wen,Man,Man,Boon,Boon,Văn,,,
莘,Shen,Shen,,,Sing,Sing,Sân/Tân,,,
黨,Dang,Tang,Tong,Tong,Tang,Tang,Đẳng,,,
翟,Zhai,Chai,Chak,Chak,Tek,Tek,Trạch,,,
譚,Tan,Tan,Tam,Tam,Tham,Tham,Đàm,,,
貢,Gong,Kung,Kung,Kong,Kong,Kong,Cống,,,
勞,Lao,Lao,Lo,Lou,Low,Low/Lau/Lao,Lao,,,
逄,Pang,Pang,Fung,Fong,Phang,Phang/Pang,Bàng,,,
姬,Ji,Chi,Kei,Kei,Kee,Kee,Cơ,,,
申,Shen,Shen,San/Sun,Son,Sing,Sing,Thân,,,
扶,Fu,Fu,Foo,Fu,Hoo,Hoo/Hu,Phù,,,
堵,Du,Tu,To,Tou,,,Đổ,,,
冉,Ran,Jan,,,Ziam/Jiam,Jiam/Riam/Ziam,Nhiễm,,,
宰,Zai,Tsai,Choi,Choi,Chai,Chai,Tể,,,
酈,Li,Li,,,Lee,Lee,Lệ,,,
雍,Yong,Yung,Yung,Iong,Yong,Yong,Ung,,,
郤,Xi,Hsi,,Lio,Khiah/Kiah,Khiah/Kiah,Khích,,,
璩,Qu,Chu,,,,,,,,
桑,Sang,Sang,Song,Song,Sng/Seung,Sng/Seung,Tang,,,
桂,Gui,Kui,Kwai,Kuai,Kwee/Kui,Kwee/Kui,Quế,,,
濮,Pu,Pu,,,,,,,,
牛,Niu,Niu,Ngau,Ngao,Goo,Goo/Gu,Ngưu,,,
壽,Shou,Shou,Sau,Sao,Sew,Sew,Thọ,,,
通,Tong,Tung,Tung,Tong,Tong/Thong,Tong/Thong,Thông,,,
邊,Bian,Pien,Pin,Pin,Piang,Piang,Biên,,,
扈,Hu,Hu,Woo,Vu,Hoo,Hoo/Hu,Hỗ,,,
燕,Yan,Yen,Yin,In,Yin,Yin,Yến,,,
冀,Ji,Chi,Kei,Kei,Kee,Kee,Ký,,,
郟,Jia,Chia,,,,,,,,
浦,Pu,Pu,Po,Pou,Poh/Pou,Poh/Pou,Phổ,,,
尚,Shang,Shang,Sheung,Seong,Siang,Siang,Sang/Thượng,Sang,Shō,Shou
農,Nong,Nung,Nung,Nong,Long,Long,Nông,,,
溫,Wen,Wen,Wan,Van,Woon/Oon,Wen/Won/Wan/Woon/Bong/Voon/Oon,Ôn,,,
別,Bie,Pieh,Pit,Pit,Piak,Piak,Biệt,,,
莊,Zhuang,Chuang,Chong,Chong,Chng,Chuang/Ching/Chin/Chng,Trang,,,
晏,Yan,Yen,,Ngan,Ang,Ang,Yến,,,
柴,Chai,Chai,Chai,Chai,Cha,Cha,Sài,,,
瞿,Qu,Chu,Kui,Koi,Keu,Keu/Ker,Cù,,,
閻,Yan,Yen,Yim,Im,Giam/Ngiam,Giam/Ngiam,Diêm,,,
充,Chong,Chung,Chung,Chong,Chong,Chong,Xung,,,
慕,Mu,Mu,Mo,Mou,Mor,Mor,Mộ,,,
連,Lian,Lien,Lin,Lin,Lian/Liang,Lian/Liang/Leong,Liên,,,
茹,Ru,Ju,Yu,U,Joo,Joo/Yee,Như,,,
習,Xi,Hsi,Chap,Chap,Sip/Sik,Sip/Sik,Tập,,,
宦,Huan,Huan,Wan,Van,Huang,Huang,Hoạn,,,
艾,Ai,Ai,Ngai,Ngai,Hian/Ngai,Hian/Ngai,Ngải,,,
魚,Yu,Yu,Yu,U,,,Ngư,,,
容,Rong,Jung,Yung,Iong,Yong,Yong,Dung,,,
向,Xiang,Hsiang,Heung,Heong,Hiang,Hiang,Hướng,Sang/Hyang,Shō,
古,Gu,Ku,Koo,Ku,Koh,Khoo/Koh/Ku/Koo,Cổ,,,
易,Yi,I/Yi,Yik,Iek,Ek,Ek,Dịch,,,
慎,Shen,Shen,,San,,,Thận,,,
戈,Ge,Ko,,Ko,Kho/Kor,Kho/Khor/Kor,Qua,,,
廖,Liao,Liao,Liu,Lio/Liu,Leow,Leow/Liew/Liau/Liao,Liêu,,,
庾,Yu,Yu,Yu,U,Joo/Ju,Joo/Ju,Dữu,,,
終,Zhong,Chung,Chung,Chong,Chong,Chong,Chung,,,
暨,Ji,Chi,,Kei,Kee,Kee,Kỵ,,,
居,Ju,Chu,Kui,Koi,Keu/Ker,Ker/Keu,Cư,,,
衡,Heng,Heng,,Hang,Huang,Huang,Hành,,,
步,Bu,Pu,Po,Pou,Poh,Poh,Bộ,,,
都,Du,Tu,To,Tou,Toh/Tou,Toh/Tou,Đô,,,
耿,Geng,Keng,,Kang,Kuang,Kuang,Cảnh,,,
滿,Man,Man,Mun,Mun,Muan,Muan,Mãn,,,
弘,Hong,Hung,Wung,Vang,Hong,Hong,Hoằng,,,
匡,Kuang,Kuang,Hong,Hong,Kuang,Kuang,Khuông,,,
國,Guo,Kuo,Kwok,Kuok,Kok,Kok,Quốc,,,
文,Wen,Wen,Man,Man,Boon/Bung,Boon/Bung,Văn,,,
寇,Kou,Kou,Kau,Kao,Koh/Kou,Koh/Kou,Khấu,,,
廣,Guang,Kuang,Kwong,Kuong,Kuang,Kuang,Quảng,,,
祿,Lu,Lu,Luk,Lok,Lok,Lok,Lục,,,
闕,Que,Chueh,Kuit,Kuet,Kuek/Kueh,Kuek/Kueh,Khuyết,,,
東,Dong,Tung,Tung,Dong,Tong/Tang,Tong/Tang,Đông,Dong,,
歐,Ou,Ou,Au,Ao,Ow/Au/Ao,Ow/Au/Ao/Aw,,,,
殳,Shu,Shu,,,,,,,,
沃,Wo,Wo,,Iok,,,,,,
利,Li,Li,Lee/Li,Lei/Lee,Lee,Lee,Lợi,,,
蔚,Wei,Wei,Wai,Wai,Way/We,Way/We,,,,
越,Yue,Yueh,,Ut,Wak,Wak,Việt,,,
夔,Kui,Kuei,,,Kwee/Kui,Kwee/Kui,,,,
隆,Long,Lung,Lung,Long,Long,Long,,,,
師,Shi,Shih,Sze,Si,Sze/Ser,Sze/Ser,Sư,,,
鞏,Gong,Kung,Kung,Konh,Kiong,Kiong,,,,
厙,She,She,,,,,,,,
聶,Nie,Nieh,Nip/Lip,,Niap,Niap,,,,
晁,Zhao,Chao,,,,,,,,
勾,Gou,Kou,,Ngao,,,,,,
敖,Ao,Ao,Ngo,,,,,,,
融,Rong,Jung,Yung,Iong,Yong,Yong,,,,
冷,Leng,Leng,,Lang,,,Lãnh,,,
訾,Zi,Tzu,,,,,,,,
辛,Xin,Hsin,San/Sun,Son,Sing,Sing,Tân,,,
闞,Kan,Kan,,,,,,,,
那,Na,Na,Na,Na,,,,,,
簡,Jian,Chien,Kan,Kan,Kan/Kang,Kang,,,,
饒,Rao,Jao,Yiu,Io,Jeow/Jiau,Jeow/Jiau,,,,
空,Kong,Kung,Hung,Hong,,,Không,,,
曾,Zeng,Tseng,Tsang,Chang,Chan/Tjan,Tjan/Chang/Chan/Chin,Tăng,,,
毋,Wu,Wu,Mo,Mou,,,,,,
沙,Sha,Sha,Sha,Sa,Sha/Sua,Sha/Sua,Sa,,,
乜,Mie,Nieh,,Ne,,,,,,
養,Yang,Yang,Yeung,Ieong,,,,,,
鞠,Ju,Chu,,Kok,,,,,,
須,Xu,Hsu,,Seoi/Soi,Soo/Su,Soo/Su,,,,
豐,Feng,Feng,Fung,Fong,Hong,Hong,,,,
巢,Chao,Chao,,Chao,Chow/Chau/Chao,Chow/Chau/Chao,,,,
關,Guan,Kuan,Kwan,Kuan,Kwan/Kuang,Kwan/Kuang,,,,
蒯,Kuai,Kuai,,,,,,,,
相,Xiang,Hsiang,Sheung,Seong,,,,,,
查,Cha,Cha,Cha,Cha,Cha,Cha,,,,
后,Hou,Hou,Hau,Hao,,,Hậu,,,
荊,Jing,Ching,King,Keng,Keng,Keng,,,,
紅,Hong,Hung,Hung,Hong,Ang,Ang,Hồng,,,
游,You,Yu,Yau,Iao,Yew/Yu,Yew/Yu/Yiu,Du,,,
